mes_ocurr,frecuencia,CVE,DESCRIP,mes_ocurr_peso
1,11218,1,Enero,0.1019002979434634
2,8915,2,Febrero,0.08098067000944699
3,9005,3,Marzo,0.08179819780539205
4,8256,4,Abril,0.0749945498146937
5,8662,5,Mayo,0.07868250853862364
6,9071,6,Junio,0.08239771818908509
7,8639,7,Julio,0.07847358476854879
8,8631,8,Agosto,0.07840091563113145
9,8461,9,Septiembre,0.07685669646101301
10,8630,10,Octubre,0.07839183198895429
11,9417,11,Noviembre,0.085540658382385
12,11175,12,Diciembre,0.10150970132984521
99,8,99,No especificado,7.266913741733885e-05
